,part_id,duration_multi,frequency_multi
0,E3_500002,5.0,1.0
1,E3_500002,5.0,1.0
2,E3_500003,5.0,1.0
3,E3_500004,5.0,1.0
4,E3_500004,1.0,2.0
5,E3_500007,5.0,1.0
6,E3_500007,3.0,1.0
7,E3_500007,1.0,5.0
8,E3_500007,2.0,5.0
9,E3_500008,5.0,1.0
10,E3_500008,2.0,2.0
11,E3_500010,5.0,1.0
12,E3_500011,5.0,1.0
13,E3_500011,5.0,1.0
14,E3_500013,5.0,1.0
15,E3_500014,5.0,1.0
16,E3_500014,4.0,1.0
17,E3_500014,4.0,1.0
18,E3_500015,5.0,1.0
19,E3_500015,5.0,1.0
20,E3_500015,5.0,1.0
21,E3_500015,5.0,1.0
22,E3_500017,5.0,1.0
23,E3_500018,5.0,1.0
24,E3_500018,1.0,5.0
25,E3_500018,1.0,1.0
26,E3_500018,1.0,2.0
27,E3_500019,4.0,1.0
28,E3_500019,4.0,1.0
29,E3_500019,,
30,E3_500019,,
31,E3_500019,,
32,E3_500019,,
33,E3_500019,,
34,E3_500019,,
35,E3_500019,,
36,E3_500019,,
37,E3_500019,,
38,E3_500019,,
39,E3_500019,,
40,E3_500019,,
41,E3_500019,,
42,E3_500019,,
43,E3_500019,,
44,E3_500019,,
45,E3_500019,,
46,E3_500019,,
47,E3_500019,,
48,E3_500019,,
49,E3_500019,,
50,E3_500019,,
51,E3_500019,,
52,E3_500019,,
53,E3_500019,,
54,E3_500019,,
55,E3_500019,,
56,E3_500019,,
57,E3_500019,,
58,E3_500019,,
59,E3_500019,,
60,E3_500020,5.0,1.0
61,E3_500020,5.0,1.0
62,E3_500020,5.0,1.0
63,E3_500020,,1.0
64,E3_500020,,1.0
65,E3_500020,,1.0
66,E3_500020,,
67,E3_500020,,
68,E3_500020,,
69,E3_500020,,
70,E3_500020,,
71,E3_500020,,
72,E3_500020,,
73,E3_500020,,
74,E3_500021,3.0,1.0
75,E3_500021,3.0,1.0
76,E3_500021,3.0,1.0
77,E3_500022,2.0,3.0
78,E3_500022,4.0,3.0
79,E3_500022,3.0,2.0
80,E3_500022,,
81,E3_500022,,
82,E3_500022,,
83,E3_500022,,
84,E3_500023,5.0,1.0
85,E3_500024,5.0,2.0
86,E3_500024,4.0,2.0
87,E3_500024,4.0,2.0
88,E3_500024,,
89,E3_500026,5.0,1.0
90,E3_500026,5.0,1.0
91,E3_500028,5.0,2.0
92,E3_500028,5.0,2.0
93,E3_500029,3.0,1.0
94,E3_500029,3.0,1.0
95,E3_500029,4.0,1.0
96,E3_500029,4.0,2.0
97,E3_500029,3.0,2.0
98,E3_500029,,
99,E3_500029,,
100,E3_500029,,
101,E3_500029,,
102,E3_500029,,
103,E3_500029,,
104,E3_500029,,
105,E3_500029,,
106,E3_500029,,
107,E3_500029,,
108,E3_500029,,
109,E3_500029,,
110,E3_500030,5.0,1.0
111,E3_500030,5.0,1.0
112,E3_500032,5.0,1.0
113,E3_500032,4.0,3.0
114,E3_500032,4.0,3.0
115,E3_500032,2.0,3.0
116,E3_500034,2.0,1.0
117,E3_500034,2.0,1.0
118,E3_500035,5.0,1.0
119,E3_500036,5.0,1.0
120,E3_500036,5.0,1.0
121,E3_500036,5.0,1.0
122,E3_500036,5.0,1.0
123,E3_500036,4.0,1.0
124,E3_500036,4.0,1.0
125,E3_500036,3.0,1.0
126,E3_500037,5.0,1.0
127,E3_500039,5.0,1.0
128,E3_500039,4.0,1.0
129,E3_500039,1.0,1.0
130,E3_500040,5.0,3.0
131,E3_500040,2.0,1.0
132,E3_500040,3.0,1.0
133,E3_500040,4.0,1.0
134,E3_500040,3.0,1.0
135,E3_500040,2.0,1.0
136,E3_500040,4.0,1.0
137,E3_500041,5.0,1.0
138,E3_500042,4.0,1.0
139,E3_500042,5.0,1.0
140,E3_500043,5.0,1.0
141,E3_500043,5.0,1.0
142,E3_500043,5.0,1.0
143,E3_500045,3.0,1.0
144,E3_500045,1.0,2.0
145,E3_500047,5.0,1.0
146,E3_500048,4.0,3.0
147,E3_500048,2.0,5.0
148,E3_500048,2.0,5.0
149,E3_500048,3.0,3.0
150,E3_500049,5.0,1.0
