,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
0,0,119597,E12_500009,HHE12_500009,56.0,F,,,,,,,1.0,2021-01-06,3,6,1,21,,,0
1,1,119598,E12_500016,HHE12_500016,14.0,F,E12_500016001,45.0,49.0,F,2.0,3.0,2.0,2021-01-06,3,6,1,21,4.0,47.0,1
2,2,119602,E12_500025,HHE12_500025,55.0,F,,,,,,,1.0,2021-01-06,3,6,1,21,,,0
3,3,119603,E12_500030,,,,E12_500030001,30.0,34.0,F,1.0,4.0,,2021-01-06,3,6,1,21,4.0,32.0,2
4,4,119604,E12_500030,,,,E12_500030002,4.0,7.0,M,1.0,4.0,,2021-01-06,3,6,1,21,3.0,7.0,2
5,5,119605,E12_500038,HHE12_500038,47.0,F,E12_500038001,70.0,74.0,M,2.0,5.0,2.0,2021-01-06,3,6,1,21,4.0,72.0,1
6,6,119606,E12_500046,HHE12_500046,14.0,F,E12_500046001,50.0,54.0,F,1.0,5.0,3.0,2021-01-06,3,6,1,21,4.0,53.0,2
7,7,119607,E12_500046,HHE12_500046,14.0,F,E12_500046002,45.0,54.0,M,1.0,4.0,3.0,2021-01-06,3,6,1,21,9.0,45.0,2
8,8,119608,E12_500056,HHE12_500056,68.0,F,E12_500056001,65.0,69.0,M,1.0,5.0,2.0,2021-01-07,4,7,1,21,4.0,65.0,1
9,9,119609,E12_500058,HHE12_500058,12.0,M,E12_500058001,50.0,54.0,M,1.0,5.0,4.0,2021-01-06,3,6,1,21,4.0,53.0,3
10,10,119610,E12_500058,HHE12_500058,12.0,M,E12_500058002,35.0,44.0,F,1.0,5.0,4.0,2021-01-06,3,6,1,21,9.0,39.0,3
11,11,119611,E12_500058,HHE12_500058,12.0,M,E12_500058003,11.0,15.0,F,1.0,5.0,4.0,2021-01-06,3,6,1,21,4.0,14.0,3
12,12,119612,E12_500062,HHE12_500062,55.0,F,E12_500062001,55.0,64.0,M,1.0,5.0,2.0,2021-01-06,3,6,1,21,9.0,59.0,6
13,13,119613,E12_500062,HHE12_500062,55.0,F,E12_500062002,55.0,64.0,F,2.0,5.0,2.0,2021-01-06,3,6,1,21,9.0,55.0,6
14,14,119614,E12_500062,HHE12_500062,55.0,F,E12_500062003,45.0,54.0,F,2.0,5.0,2.0,2021-01-06,3,6,1,21,9.0,51.0,6
15,15,119615,E12_500062,HHE12_500062,55.0,F,E12_500062004,55.0,64.0,F,2.0,5.0,2.0,2021-01-06,3,6,1,21,9.0,60.0,6
16,16,119616,E12_500062,HHE12_500062,55.0,F,E12_500062005,25.0,34.0,M,2.0,5.0,2.0,2021-01-06,3,6,1,21,9.0,34.0,6
17,17,119617,E12_500062,HHE12_500062,55.0,F,E12_500062006,25.0,34.0,F,2.0,5.0,2.0,2021-01-06,3,6,1,21,9.0,33.0,6
18,18,119618,E12_500075,HHE12_500075,15.0,F,E12_500075001,50.0,54.0,F,1.0,4.0,3.0,2021-01-06,3,6,1,21,4.0,51.0,2
19,19,119619,E12_500075,HHE12_500075,15.0,F,E12_500075002,11.0,15.0,F,2.0,3.0,3.0,2021-01-06,3,6,1,21,4.0,15.0,2
20,20,119620,E12_500076,HHE12_500076,55.0,F,E12_500076001,25.0,34.0,M,1.0,5.0,5.0,2021-01-06,3,6,1,21,9.0,32.0,4
21,21,119621,E12_500076,HHE12_500076,55.0,F,E12_500076002,20.0,24.0,M,1.0,5.0,5.0,2021-01-06,3,6,1,21,4.0,21.0,4
22,22,119622,E12_500076,HHE12_500076,55.0,F,E12_500076003,16.0,17.0,M,1.0,5.0,5.0,2021-01-06,3,6,1,21,1.0,16.0,4
23,23,119623,E12_500076,HHE12_500076,55.0,F,E12_500076004,45.0,54.0,M,1.0,5.0,5.0,2021-01-06,3,6,1,21,9.0,47.0,4
24,24,119624,E12_500087,HHE12_500087,52.0,M,E12_500087001,45.0,54.0,F,1.0,5.0,5.0,2021-01-06,3,6,1,21,9.0,52.0,7
25,25,119625,E12_500087,HHE12_500087,52.0,M,E12_500087002,20.0,24.0,F,1.0,4.0,5.0,2021-01-06,3,6,1,21,4.0,20.0,7
26,26,119626,E12_500087,HHE12_500087,52.0,M,E12_500087003,18.0,19.0,F,1.0,4.0,5.0,2021-01-06,3,6,1,21,1.0,18.0,7
27,27,119627,E12_500087,HHE12_500087,52.0,M,E12_500087004,16.0,17.0,F,1.0,4.0,5.0,2021-01-06,3,6,1,21,1.0,17.0,7
28,28,119628,E12_500087,HHE12_500087,52.0,M,E12_500087005,55.0,64.0,M,2.0,5.0,5.0,2021-01-06,3,6,1,21,9.0,56.0,7
29,29,119629,E12_500087,HHE12_500087,52.0,M,E12_500087006,45.0,54.0,M,2.0,5.0,5.0,2021-01-06,3,6,1,21,9.0,45.0,7
30,30,119630,E12_500087,HHE12_500087,52.0,M,E12_500087007,55.0,64.0,M,2.0,3.0,5.0,2021-01-06,3,6,1,21,9.0,56.0,7
31,31,119631,E12_500095,HHE12_500095,54.0,M,E12_500095001,45.0,54.0,F,1.0,5.0,2.0,2021-01-06,3,6,1,21,9.0,49.0,1
32,32,119632,E12_500098,HHE12_500098,66.0,F,E12_500098001,55.0,64.0,M,1.0,5.0,2.0,2021-01-06,3,6,1,21,9.0,55.0,1
33,33,119633,E12_500103,HHE12_500103,7.0,F,E12_500103001,45.0,49.0,F,1.0,5.0,3.0,2021-01-06,3,6,1,21,4.0,49.0,2
34,34,119634,E12_500103,HHE12_500103,7.0,F,E12_500103002,45.0,54.0,M,1.0,5.0,3.0,2021-01-06,3,6,1,21,9.0,46.0,2
35,35,119636,E12_500109,HHE12_500109,41.0,F,E12_500109001,35.0,44.0,M,1.0,5.0,4.0,2021-01-06,3,6,1,21,9.0,36.0,4
36,36,119637,E12_500109,HHE12_500109,41.0,F,E12_500109002,4.0,7.0,M,1.0,5.0,4.0,2021-01-06,3,6,1,21,3.0,5.0,4
37,37,119638,E12_500109,HHE12_500109,41.0,F,E12_500109003,1.0,3.0,F,1.0,5.0,4.0,2021-01-06,3,6,1,21,2.0,3.0,4
38,38,119639,E12_500109,HHE12_500109,41.0,F,E12_500109004,55.0,64.0,F,2.0,2.0,4.0,2021-01-06,3,6,1,21,9.0,61.0,4
39,39,119640,E12_500112,HHE12_500112,63.0,M,E12_500112001,55.0,64.0,F,1.0,5.0,3.0,2021-01-06,3,6,1,21,9.0,56.0,9
40,40,119641,E12_500112,HHE12_500112,63.0,M,E12_500112002,20.0,24.0,M,1.0,4.0,3.0,2021-01-06,3,6,1,21,4.0,24.0,9
41,41,119642,E12_500112,HHE12_500112,63.0,M,E12_500112003,45.0,54.0,M,2.0,1.0,3.0,2021-01-06,3,6,1,21,9.0,54.0,9
42,42,119643,E12_500112,HHE12_500112,63.0,M,E12_500112004,55.0,64.0,M,2.0,1.0,3.0,2021-01-06,3,6,1,21,9.0,64.0,9
43,43,119644,E12_500112,HHE12_500112,63.0,M,E12_500112005,45.0,54.0,M,2.0,1.0,3.0,2021-01-06,3,6,1,21,9.0,54.0,9
44,44,119645,E12_500112,HHE12_500112,63.0,M,E12_500112006,35.0,44.0,M,2.0,1.0,3.0,2021-01-06,3,6,1,21,9.0,39.0,9
45,45,119646,E12_500112,HHE12_500112,63.0,M,E12_500112007,25.0,34.0,F,2.0,1.0,3.0,2021-01-06,3,6,1,21,9.0,30.0,9
46,46,119647,E12_500112,HHE12_500112,63.0,M,E12_500112008,45.0,54.0,F,2.0,1.0,3.0,2021-01-06,3,6,1,21,9.0,50.0,9
47,47,119648,E12_500112,HHE12_500112,63.0,M,E12_500112009,45.0,54.0,M,2.0,1.0,3.0,2021-01-06,3,6,1,21,9.0,45.0,9
48,48,119649,E12_500113,HHE12_500113,52.0,F,E12_500113001,25.0,34.0,F,2.0,1.0,1.0,2021-01-06,3,6,1,21,9.0,26.0,1
49,49,119650,E12_500120,HHE12_500120,13.0,M,E12_500120001,50.0,54.0,F,1.0,4.0,4.0,2021-01-07,4,7,1,21,4.0,54.0,3
50,50,119651,E12_500120,HHE12_500120,13.0,M,E12_500120002,45.0,54.0,M,1.0,4.0,4.0,2021-01-07,4,7,1,21,9.0,49.0,3
51,51,119652,E12_500120,HHE12_500120,13.0,M,E12_500120003,16.0,17.0,M,1.0,5.0,4.0,2021-01-07,4,7,1,21,1.0,16.0,3
52,52,119653,E12_500141,HHE12_500141,16.0,F,E12_500141001,50.0,54.0,F,1.0,5.0,4.0,2021-01-06,3,6,1,21,4.0,52.0,3
53,53,119654,E12_500141,HHE12_500141,16.0,F,E12_500141002,16.0,17.0,F,1.0,5.0,4.0,2021-01-06,3,6,1,21,1.0,17.0,3
54,54,119655,E12_500141,HHE12_500141,16.0,F,E12_500141003,45.0,54.0,M,1.0,4.0,4.0,2021-01-06,3,6,1,21,9.0,48.0,3
55,55,119656,E12_500159,HHE12_500159,13.0,M,E12_500159001,50.0,54.0,F,1.0,5.0,4.0,2021-01-06,3,6,1,21,4.0,50.0,1
56,56,119657,E12_500179,HHE12_500179,58.0,F,E12_500179001,55.0,64.0,F,2.0,4.0,3.0,2021-01-07,4,7,1,21,9.0,61.0,4
57,57,119658,E12_500179,HHE12_500179,58.0,F,E12_500179002,25.0,34.0,F,2.0,5.0,3.0,2021-01-07,4,7,1,21,9.0,27.0,4
58,58,119659,E12_500179,HHE12_500179,58.0,F,E12_500179003,,,M,2.0,1.0,3.0,2021-01-07,4,7,1,21,,4.0,4
59,59,119660,E12_500179,HHE12_500179,58.0,F,E12_500179004,,,M,2.0,1.0,3.0,2021-01-07,4,7,1,21,,16.0,4
60,60,119661,E12_500196,HHE12_500196,57.0,F,E12_500196001,45.0,54.0,M,1.0,5.0,5.0,2021-01-06,3,6,1,21,9.0,48.0,4
61,61,119662,E12_500196,HHE12_500196,57.0,F,E12_500196002,18.0,19.0,F,1.0,5.0,5.0,2021-01-06,3,6,1,21,1.0,18.0,4
62,62,119663,E12_500196,HHE12_500196,57.0,F,E12_500196003,20.0,24.0,M,2.0,4.0,5.0,2021-01-06,3,6,1,21,4.0,20.0,4
