,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
0,0,153935,E16_500163,HHE16_500163,2.0,M,E16_500163001,35.0,39.0,F,1.0,4.0,3.0,2021-03-08,1,8,3,21,4.0,36.0,18
1,1,153936,E16_500163,HHE16_500163,2.0,M,E16_500163002,35.0,44.0,M,1.0,4.0,3.0,2021-03-08,1,8,3,21,9.0,37.0,18
2,2,153937,E16_500163,HHE16_500163,2.0,M,E16_500163003,0.0,1.0,M,1.0,4.0,3.0,2021-03-08,1,8,3,21,1.0,0.0,18
3,3,153938,E16_500163,HHE16_500163,2.0,M,E16_500163004,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,3.0,18
4,4,153939,E16_500163,HHE16_500163,2.0,M,E16_500163005,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,11.0,18
5,5,153940,E16_500163,HHE16_500163,2.0,M,E16_500163006,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,3.0,18
6,6,153941,E16_500163,HHE16_500163,2.0,M,E16_500163007,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,0.0,18
7,7,153942,E16_500163,HHE16_500163,2.0,M,E16_500163008,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,1.0,18
8,8,153943,E16_500163,HHE16_500163,2.0,M,E16_500163009,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,3.0,18
9,9,153944,E16_500163,HHE16_500163,2.0,M,E16_500163010,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,10.0,18
10,10,153945,E16_500163,HHE16_500163,2.0,M,E16_500163011,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,4.0,18
11,11,153946,E16_500163,HHE16_500163,2.0,M,E16_500163012,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,2.0,18
12,12,153947,E16_500163,HHE16_500163,2.0,M,E16_500163013,0.0,17.0,,2.0,,3.0,2021-03-08,1,8,3,21,17.0,0.0,18
13,13,153948,E16_500163,HHE16_500163,2.0,M,E16_500163014,18.0,64.0,,2.0,,3.0,2021-03-08,1,8,3,21,46.0,67.0,18
14,14,153949,E16_500163,HHE16_500163,2.0,M,E16_500163015,18.0,64.0,,2.0,,3.0,2021-03-08,1,8,3,21,46.0,35.0,18
15,15,153950,E16_500163,HHE16_500163,2.0,M,E16_500163016,18.0,64.0,,2.0,,3.0,2021-03-08,1,8,3,21,46.0,65.0,18
16,16,153951,E16_500163,HHE16_500163,2.0,M,E16_500163017,18.0,64.0,,2.0,,3.0,2021-03-08,1,8,3,21,46.0,45.0,18
17,17,153952,E16_500163,HHE16_500163,2.0,M,E16_500163018,18.0,64.0,,2.0,,3.0,2021-03-08,1,8,3,21,46.0,61.0,18
18,18,153956,E16_500212,HHE16_500212,58.0,F,E16_500212001,12.0,15.0,F,1.0,5.0,3.0,2021-03-08,1,8,3,21,3.0,14.0,3
19,19,153957,E16_500212,HHE16_500212,58.0,F,E16_500212002,12.0,15.0,M,2.0,5.0,3.0,2021-03-08,1,8,3,21,3.0,15.0,3
20,20,153958,E16_500212,HHE16_500212,58.0,F,E16_500212003,70.0,74.0,F,2.0,4.0,3.0,2021-03-08,1,8,3,21,4.0,70.0,3
21,21,153968,E16_500235,HHE16_500235,54.0,M,E16_500235001,55.0,64.0,M,2.0,5.0,2.0,2021-03-09,2,9,3,21,9.0,63.0,2
22,22,153969,E16_500235,HHE16_500235,54.0,M,E16_500235002,45.0,54.0,M,2.0,5.0,2.0,2021-03-09,2,9,3,21,9.0,52.0,2
23,23,153970,E16_500239,HHE16_500239,7.0,M,E16_500239001,35.0,39.0,F,1.0,5.0,3.0,2021-03-09,2,9,3,21,4.0,38.0,28
24,24,153971,E16_500239,HHE16_500239,7.0,M,E16_500239002,35.0,44.0,M,1.0,5.0,3.0,2021-03-09,2,9,3,21,9.0,40.0,28
25,25,153972,E16_500239,HHE16_500239,7.0,M,E16_500239003,55.0,64.0,M,2.0,3.0,3.0,2021-03-09,2,9,3,21,9.0,55.0,28
